case_id,clinician_lex_word_count,clinician_lex_budget_utilization,clinician_lex_unique_words,clinician_lex_ttr,clinician_lex_hapax_legomena,clinician_lex_hapax_ratio,clinician_lex_avg_word_length,clinician_lex_mtld,clinician_syn_sentence_count,clinician_syn_avg_sent_length,clinician_syn_sent_length_std,clinician_syn_noun_ratio,clinician_syn_verb_ratio,clinician_syn_adj_ratio,clinician_syn_adv_ratio,clinician_syn_det_ratio,clinician_syn_adp_ratio,clinician_syn_pron_ratio,clinician_syn_avg_parse_depth,clinician_syn_opener_diversity,clinician_read_flesch_kincaid_grade,clinician_read_flesch_reading_ease,clinician_read_coleman_liau,clinician_sty_passive_voice_ratio,clinician_sty_function_word_pct,clinician_sty_adverb_pct,clinician_sty_adjective_pct,clinician_sty_first_person_pronouns,clinician_sty_second_person_pronouns,clinician_sty_third_person_pronouns,clinician_sty_the_patient_count,clinician_sent_polarity,clinician_sent_subjectivity,clinician_sent_reassurance_count,clinician_sent_warning_count,clinician_clin_hedge_epistemic,clinician_clin_hedge_evidential,clinician_clin_total_hedging,clinician_clin_certainty_markers,clinician_clin_hedge_certainty_ratio,clinician_clin_causal_connectives,clinician_clin_temporal_connectives,clinician_clin_contrastive_connectives,clinician_clin_total_connectives,clinician_clin_meta_referential,clinician_clin_medical_abbreviations,clinician_clin_non_ascii,model_lex_word_count,model_lex_budget_utilization,model_lex_unique_words,model_lex_ttr,model_lex_hapax_legomena,model_lex_hapax_ratio,model_lex_avg_word_length,model_lex_mtld,model_syn_sentence_count,model_syn_avg_sent_length,model_syn_sent_length_std,model_syn_noun_ratio,model_syn_verb_ratio,model_syn_adj_ratio,model_syn_adv_ratio,model_syn_det_ratio,model_syn_adp_ratio,model_syn_pron_ratio,model_syn_avg_parse_depth,model_syn_opener_diversity,model_read_flesch_kincaid_grade,model_read_flesch_reading_ease,model_read_coleman_liau,model_sty_passive_voice_ratio,model_sty_function_word_pct,model_sty_adverb_pct,model_sty_adjective_pct,model_sty_first_person_pronouns,model_sty_second_person_pronouns,model_sty_third_person_pronouns,model_sty_the_patient_count,model_sent_polarity,model_sent_subjectivity,model_sent_reassurance_count,model_sent_warning_count,model_clin_hedge_epistemic,model_clin_hedge_evidential,model_clin_total_hedging,model_clin_certainty_markers,model_clin_hedge_certainty_ratio,model_clin_causal_connectives,model_clin_temporal_connectives,model_clin_contrastive_connectives,model_clin_total_connectives,model_clin_meta_referential,model_clin_medical_abbreviations,model_clin_non_ascii
1,78,1.04,51,0.6538461538461539,36,0.46153846153846156,5.384615384615385,60.4274476037651,5,17.2,2.280350850198276,0.32051282051282054,0.14102564102564102,0.05128205128205128,0.01282051282051282,0.16666666666666666,0.11538461538461539,0.01282051282051282,5.4,1.0,9.25297435897436,56.50869230769234,12.938461538461539,0.8,0.4230769230769231,0.01282051282051282,0.05128205128205128,0,0,0,1,0.14375,0.5395833333333333,1,0,0,0,0,1,0.0,2,1,0,3,0,4,0,75,1.0,55,0.7333333333333333,46,0.6133333333333333,5.16,78.75,3,28.333333333333332,0.5773502691896257,0.30666666666666664,0.14666666666666667,0.013333333333333334,0.04,0.12,0.08,0.05333333333333334,5.333333333333333,1.0,10.994666666666667,60.76400000000001,12.170666666666666,0.3333333333333333,0.4266666666666667,0.04,0.013333333333333334,0,0,2,1,0.6,0.925,0,0,0,0,0,2,0.0,2,1,1,4,0,4,0
2,73,0.9733333333333334,50,0.684931506849315,34,0.4657534246575342,5.219178082191781,66.66319444444444,3,26.666666666666668,9.814954576223638,0.3466666666666667,0.13333333333333333,0.05333333333333334,0.013333333333333334,0.05333333333333334,0.14666666666666667,0.08,7.666666666666667,0.6666666666666666,13.643513513513515,41.17941441441445,12.47027027027027,1.0,0.4246575342465753,0.013333333333333334,0.05333333333333334,0,0,5,3,-0.08571428571428572,0.4714285714285715,0,0,0,0,0,1,0.0,0,1,0,1,0,0,0,74,0.9866666666666667,57,0.7702702702702703,45,0.6081081081081081,5.648648648648648,90.1929411764706,4,21.25,7.5,0.32,0.13333333333333333,0.14666666666666667,0.04,0.05333333333333334,0.09333333333333334,0.05333333333333334,4.0,1.0,12.35472972972973,39.43587837837839,14.578378378378378,0.5,0.3918918918918919,0.04,0.14666666666666667,0,0,3,1,0.02962962962962963,0.5222222222222221,1,1,1,0,1,0,1.0,2,2,0,4,0,1,0
3,72,0.96,59,0.8194444444444444,48,0.6666666666666666,5.069444444444445,111.6553846153846,5,17.0,5.5677643628300215,0.3287671232876712,0.1232876712328767,0.1095890410958904,0.0,0.0958904109589041,0.1095890410958904,0.0547945205479452,6.6,1.0,9.201,54.744,10.500000000000004,0.0,0.4166666666666667,0.0,0.1095890410958904,0,0,3,1,0.09772727272727273,0.3007575757575758,1,5,0,0,0,0,0.5,0,0,0,0,0,0,0,73,0.9733333333333334,56,0.7671232876712328,43,0.589041095890411,5.4520547945205475,87.77176470588233,4,21.5,4.123105625617661,0.32432432432432434,0.13513513513513514,0.08108108108108109,0.013513513513513514,0.0945945945945946,0.0945945945945946,0.06756756756756757,5.0,1.0,12.379554794520548,38.81261986301371,13.246575342465754,0.25,0.410958904109589,0.013513513513513514,0.08108108108108109,0,0,5,1,-0.036111111111111115,0.32499999999999996,3,4,0,0,0,0,0.5,2,0,0,2,0,0,0
4,70,0.9333333333333333,54,0.7714285714285715,42,0.6,6.685714285714286,85.75000000000003,4,20.25,7.41057802513857,0.3698630136986301,0.1643835616438356,0.1643835616438356,0.0273972602739726,0.0684931506849315,0.0958904109589041,0.0410958904109589,6.75,1.0,15.098697183098594,18.427200704225385,20.273239436619722,0.25,0.2714285714285714,0.0273972602739726,0.1643835616438356,0,0,2,3,0.025216450216450224,0.300974025974026,1,1,0,0,0,2,0.0,2,0,0,2,0,0,0,74,0.9866666666666667,56,0.7567567567567568,47,0.6351351351351351,6.743243243243243,85.18222222222224,7,14.0,5.686240703077327,0.3375,0.1625,0.15,0.0,0.0125,0.1125,0.0625,4.714285714285714,1.0,11.71657142857143,30.144000000000034,18.944,0.2857142857142857,0.32432432432432434,0.0,0.15,0,0,5,1,-0.25,0.22499999999999998,1,0,0,0,0,1,0.0,0,0,0,0,0,1,0
5,74,0.9866666666666667,53,0.7162162162162162,40,0.5405405405405406,5.243243243243243,74.0,6,14.0,5.215361924162119,0.29333333333333333,0.12,0.12,0.0,0.13333333333333333,0.08,0.013333333333333334,3.5,1.0,8.195675675675677,58.27072072072073,11.427027027027027,0.3333333333333333,0.43243243243243246,0.0,0.12,0,0,0,4,0.15937500000000002,0.428125,1,0,0,0,0,2,0.0,0,0,0,0,0,3,0,75,1.0,61,0.8133333333333334,52,0.6933333333333334,5.786666666666667,112.50000000000003,4,21.25,3.4034296427770228,0.3466666666666667,0.10666666666666667,0.09333333333333334,0.04,0.08,0.10666666666666667,0.06666666666666667,5.25,1.0,12.647833333333335,37.77975000000001,15.410666666666671,0.25,0.38666666666666666,0.04,0.09333333333333334,0,0,2,1,-0.125,0.425,1,0,0,0,0,1,0.0,3,1,0,4,0,2,0
6,73,0.9733333333333334,61,0.8356164383561644,54,0.7397260273972602,6.205479452054795,124.34333333333336,6,15.166666666666666,7.652886165798278,0.4,0.12,0.09333333333333334,0.04,0.06666666666666667,0.09333333333333334,0.0,4.833333333333333,1.0,11.461849315068495,34.55706621004569,16.408219178082188,0.3333333333333333,0.273972602739726,0.04,0.09333333333333334,0,0,0,2,0.029545454545454545,0.40757575757575754,0,1,0,0,0,2,0.0,0,1,0,1,0,0,0,71,0.9466666666666667,51,0.7183098591549296,40,0.5633802816901409,5.47887323943662,58.09090909090909,5,18.0,4.527692569068709,0.2597402597402597,0.12987012987012986,0.06493506493506493,0.03896103896103896,0.06493506493506493,0.09090909090909091,0.06493506493506493,4.0,1.0,10.75227027027027,44.334621621621665,12.689189189189193,0.4,0.4225352112676056,0.03896103896103896,0.06493506493506493,0,0,4,1,-0.1875,0.5,0,0,0,1,1,2,0.3333333333333333,2,0,0,2,0,4,0
7,75,1.0,55,0.7333333333333333,46,0.6133333333333333,4.4,78.75,4,20.0,5.830951894845301,0.24,0.18666666666666668,0.04,0.02666666666666667,0.10666666666666667,0.12,0.12,7.0,1.0,7.927833333333336,71.61975000000002,7.754666666666665,0.25,0.4666666666666667,0.02666666666666667,0.04,0,0,8,2,-0.0625,0.3875,0,1,0,0,0,0,0.5,1,0,0,1,0,2,0,75,1.0,55,0.7333333333333333,42,0.56,5.453333333333333,78.75,5,16.4,2.5099800796022267,0.25333333333333335,0.16,0.06666666666666667,0.013333333333333334,0.17333333333333334,0.10666666666666667,0.08,4.6,1.0,9.769333333333336,51.73800000000003,13.314666666666668,0.0,0.48,0.013333333333333334,0.06666666666666667,0,0,5,1,0.0,0.0,0,0,0,0,0,0,0.5,2,1,0,3,0,2,0
8,74,0.9866666666666667,57,0.7702702702702703,45,0.6081081081081081,5.554054054054054,90.1929411764706,5,17.0,7.7781745930520225,0.3684210526315789,0.13157894736842105,0.05263157894736842,0.0,0.05263157894736842,0.11842105263157894,0.06578947368421052,5.0,1.0,11.071189189189187,42.04813513513517,13.708108108108107,0.2,0.3783783783783784,0.0,0.05263157894736842,0,0,3,0,0.0037878787878787845,0.425,1,0,1,1,2,1,0.6666666666666666,2,0,0,2,0,1,0,75,1.0,58,0.7733333333333333,49,0.6533333333333333,6.773333333333333,92.6470588235294,5,19.2,5.215361924162119,0.4155844155844156,0.18181818181818182,0.12987012987012986,0.0,0.012987012987012988,0.03896103896103896,0.07792207792207792,5.2,1.0,16.06266666666667,6.618000000000023,20.042666666666666,0.2,0.29333333333333333,0.0,0.12987012987012986,0,0,3,1,0.14,0.44000000000000006,1,0,1,0,1,0,1.0,2,0,0,2,0,0,0
9,75,1.0,58,0.7733333333333333,48,0.64,6.1466666666666665,92.6470588235294,6,14.666666666666666,7.201851613763412,0.39473684210526316,0.13157894736842105,0.11842105263157894,0.02631578947368421,0.039473684210526314,0.13157894736842105,0.02631578947368421,4.166666666666667,1.0,13.67166666666667,19.307500000000005,16.554666666666666,0.6666666666666666,0.30666666666666664,0.02631578947368421,0.11842105263157894,0,0,2,1,0.016666666666666666,0.3727272727272727,0,0,0,0,0,0,0.5,3,1,0,4,0,1,0,75,1.0,61,0.8133333333333334,54,0.72,6.373333333333333,112.50000000000003,5,19.0,6.96419413859206,0.33766233766233766,0.12987012987012986,0.14285714285714285,0.03896103896103896,0.05194805194805195,0.06493506493506493,0.07792207792207792,4.6,1.0,13.545333333333335,24.666000000000025,17.8,0.2,0.36,0.03896103896103896,0.14285714285714285,0,0,4,1,0.035416666666666666,0.325,0,0,0,0,0,0,0.5,2,2,0,4,0,1,0
10,75,1.0,59,0.7866666666666666,50,0.6666666666666666,5.826666666666667,98.43749999999999,5,16.4,3.7815340802378072,0.3333333333333333,0.14666666666666667,0.13333333333333333,0.04,0.10666666666666667,0.08,0.04,4.8,1.0,12.129333333333335,34.81800000000004,15.480000000000004,0.0,0.36,0.04,0.13333333333333333,0,0,3,3,-0.13125000000000003,0.31875,1,0,2,0,2,0,1.0,1,1,1,3,0,0,0,74,0.9866666666666667,61,0.8243243243243243,55,0.7432432432432432,5.635135135135135,117.94461538461542,6,13.666666666666666,2.250925735484551,0.22972972972972974,0.16216216216216217,0.14864864864864866,0.04054054054054054,0.06756756756756757,0.08108108108108109,0.0945945945945946,3.8333333333333335,1.0,11.384864864864863,35.40585585585586,13.856756756756763,0.16666666666666666,0.3918918918918919,0.04054054054054054,0.14864864864864866,0,0,7,1,-0.08125,0.303125,2,0,0,1,1,1,0.5,1,1,1,3,0,2,0
11,75,1.0,54,0.72,39,0.52,5.373333333333333,75.0,5,16.6,5.029910535983717,0.25333333333333335,0.18666666666666668,0.02666666666666667,0.04,0.05333333333333334,0.08,0.10666666666666667,5.0,0.8,9.769333333333336,51.73800000000003,12.773333333333333,0.8,0.4533333333333333,0.04,0.02666666666666667,0,0,6,1,-0.05,0.2,1,0,1,0,1,1,0.5,0,2,0,2,0,2,0,73,0.9733333333333334,54,0.7397260273972602,42,0.5753424657534246,6.315068493150685,65.66483977471354,5,17.6,5.9413803110051795,0.1891891891891892,0.16216216216216217,0.06756756756756757,0.08108108108108109,0.04054054054054054,0.08108108108108109,0.08108108108108109,4.4,1.0,13.704,22.81600000000003,17.687671232876713,0.8,0.410958904109589,0.08108108108108109,0.06756756756756757,0,0,3,1,0.13333333333333333,0.6666666666666666,0,1,1,0,1,1,0.5,2,2,0,4,0,1,0
